idCanton;nombreCanton;idProvincia
0101;CUENCA;01
0806;ATACAMES;08
2401;SANTA ELENA;24
1701;QUITO;17
0901;GUAYAQUIL;09
1403;LIMÓN INDANZA;14
1501;TENA;15
1401;MORONA;14
0108;SANTA ISABEL;01
0103;GUALACEO;01
1601;PASTAZA;16
0911;NARANJAL;09
2203;LA JOYA DE LOS SACHAS;22
0709;PASAJE;07
0102;GIRÓN;01
0707;HUAQUILLAS;07
1001;IBARRA;10
1405;SANTIAGO;14
0111;CHORDELEG;01
1406;SUCÚA;14
1705;RUMIÑAHUI;17
1504;EL CHACO;15
0113;SEVILLA DE ORO;01
1410;LOGROÑO;14
2403;SALINAS;24
1101;LOJA;11
1402;GUALAQUIZA;14
1308;MANTA;13
1901;ZAMORA;19
0301;AZOGUES;03
2201;ORELLANA;22
1404;PALORA;14
2003;SANTA CRUZ;20
0110;OÑA;01
0105;PAUTE;01
1709;PUERTO QUITO;17
0109;SIGSIG;01
0701;MACHALA;07
1208;VINCES;12
0302;BIBLIÁN;03
1801;AMBATO;18
1319;PUERTO LÓPEZ;13
2104;SHUSHUFINDI;21
0405;MONTÚFAR;04
1408;SAN JUAN BOSCO;14
0201;GUARANDA;02
0909;EL TRIUNFO;09
2002;ISABELA;20
0107;SAN FERNANDO;01
1317;PEDERNALES;13
0601;RIOBAMBA;06
1702;CAYAMBE;17
0303;CAÑAR;03
0114;GUACHAPALA;01
1808;SANTIAGO DE PÍLLARO;18
0106;PUCARÁ;01
1703;MEJÍA;17
0104;NABÓN;01
1310;PAJÁN;13
0112;EL PAN;01
0916;SAMBORONDÓN;09
0304;LA TRONCAL;03
1902;CHINCHIPE;19
1708;PEDRO VICENTE MALDONADO;17
0803;MUISNE;08
1412;TIWINTZA;14
0115;CAMILO PONCE ENRÍQUEZ;01
1111;SARAGURO;11
0501;LATACUNGA;05
1205;QUEVEDO;12
1306;JIPIJAPA;13
1314;SUCRE;13
0702;ARENILLAS;07
2101;LAGO AGRIO;21
0305;EL TAMBO;03
0306;DELEG;03
0204;ECHEANDÍA;02
0910;MILAGRO;09
2106;CASCALES;21
0203;CHIMBO;02
2204;LORETO;22
0808;LA CONCORDIA;08
1301;PORTOVIEJO;13
1322;SAN VICENTE;13
1201;BABAHOYO;12
0710;PIÑAS;07
0205;SAN MIGUEL;02
2301;SANTO DOMINGO;23
0206;CALUMA;02
0207;LAS NAVES;02
0202;CHILLANES;02
0801;ESMERALDAS;08
1003;COTACACHI;10
2001;SAN CRISTÓBAL;20
1411;PABLO SEXTO;14
1602;MERA;16
1905;YANTZAZA;19
1103;CATAMAYO;11
2402;LA LIBERTAD;24
0307;SUSCAL;03
0912;NARANJITO;09
0907;DURÁN;09
0921;PLAYAS;09
0401;TULCÁN;04
0804;QUININDÉ;08
1309;MONTECRISTI;13
1006;SAN MIGUEL DE URCUQUÍ;10
2103;PUTUMAYO;21
0406;SAN PEDRO DE HUACA;04
1004;OTAVALO;10
1002;ANTONIO ANTE;10
1802;BAÑOS DE AGUA SANTA;18
0403;ESPEJO;04
0805;SAN LORENZO;08
2105;SUCUMBÍOS;21
0713;ZARUMA;07
0507;SIGCHOS;05
0502;LA MANÁ;05
0504;PUJILÍ;05
0503;PANGUA;05
0505;SALCEDO;05
1707;SAN MIGUEL DE LOS BANCOS;17
1507;QUIJOS;15
0506;SAQUISILÍ;05
2107;CUYABENO;21
0606;GUAMOTE;06
1806;QUERO;18
1906;EL PANGUI;19
2202;AGUARICO;22
0604;CHAMBO;06
0602;ALAUSÍ;06
0603;COLTA;06
0607;GUANO;06
0712;SANTA ROSA;07
1320;JAMA;13
0610;CUMANDÁ;06
0605;CHUNCHI;06
0608;PALLATANGA;06
0927;GENERAL ANTONIO ELIZALDE;09
1807;SAN PEDRO DE PELILEO;18
0609;PENIPE;06
1108;MACARÁ;11
0706;EL GUABO;07
0704;BALSAS;07
0708;MARCABELÍ;07
2102;GONZALO PIZARRO;21
0714;LAS LAJAS;07
0711;PORTOVELO;07
1809;TISALEO;18
0903;BALAO;09
1114;PINDAL;11
0703;ATAHUALPA;07
1503;ARCHIDONA;15
1110;PUYANGO;11
0802;ELOY ALFARO;08
0807;RÍO VERDE;08
1603;SANTA CLARA;16
1315;TOSAGUA;13
0902;ALFREDO BAQUERIZO MORENO (JUJAN);09
0906;DAULE;09
0919;URBINA (EL SALITRE (LAS RAMAS), CAB CANTONAL);09
0914;PEDRO CARBO;09
1203;MONTALVO;12
1207;VENTANAS;12
0923;CORONEL MARCELINO MARIDUEÑA;09
0904;BALZAR;09
1303;CHONE;13
0918;SANTA LUCIA;09
0920;SAN JACINTO DE YAGUACHI;09
1210;BUENA FÉ;12
0908;EL EMPALME;09
0402;BOLÍVAR;04
0925;NOBOL;09
0924;LOMAS DE SARGENTILLO;09
0404;MIRA;04
