idParroquia;nombreParroquia;idCanton
010150;CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.;0101
110101;EL SAGRARIO;1101
080654;TONSUPA;0806
240152;COLONCHE;2401
010107;HUAYNACÁPAC;0101
170157;CUMBAYÁ;1701
090150;GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0901
140350;GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL;1403
010106;GIL RAMÍREZ DÁVALOS;0101
010112;SUCRE;0101
150150;TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1501
140157;SEVILLA DON BOSCO;1401
170150;QUITO;1701
010850;SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL;0108
010110;SAN BLAS;0101
010350;GUALACEO, CABECERA CANTONAL;0103
160150;PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1601
170501;SANGOLQUÍ, CABECERA CANTONAL;1705
170151;ALANGASÍ;1701
091151;JESUS MARIA;0911
010109;MONAY;0101
010103;EL BATÁN;0101
220350;LA JOYA DE LOS SACHAS, CABECERA CANTONAL;2203
070951;BUENAVISTA;0709
010250;GIRÓN, CABECERA CANTONAL;0102
140150;MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1401
140158;SINAI;1401
070704;MILTON REYES;0707
100105;LA DOLOROSA DEL PRIORATO;1001
010111;SAN SEBASTIÁN;0101
140557;SAN FRANCISCO DE CHINIMBIMI;1405
011150;CHORDELEG, CABECERA CANTONAL;0111
140650;SUCÚA, CABECERA CANTONAL;1406
160155;FATIMA;1601
150450;EL CHACO, CABECERA CANTONAL;1504
010165;SAYAUSÍ;0101
010560;SEVILLA DE ORO, CABECERA CANTONAL;0105
010102;CAÑARIBAMBA;0101
010162;RICAURTE;0101
140653;LOGROÑO, CABECERA CANTONAL;1406
240350;SALINAS, CABECERA CANTONAL;2403
010151;BAÑOS;0101
110161;VILCABAMBA (VICTORIA);1101
010105;EL VECINO;0101
140201;GUALAQUIZA, CABECERA CANTONAL;1402
130802;MANTA, CABECERA CANTONAL;1308
190102;ZAMORA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1901
240154;MANGLARALTO;2401
030102;AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0301
220150;PUERTO FRANCISCO DE ORELLANA (EL COCA), CABECERA CANTONAL Y CAPITAL PROVINCIAL;2201
010114;YANUNCAY;0101
140454;SANGAY (CAB. EN NAYAMANACA);1404
200350;PUERTO AYORA, CABECERA CANTONAL;2003
011050;OÑA, SAN FELIPE DE OÑA CAB CANTONAL;0110
240352;JOSE LUIS TAMAYO (MUEY);2403
010550;PAUTE, CABECERA CANTONAL;0105
170187;PUERTO QUITO, CABECERA CANTONAL;1701
010950;SIGSIG, CABECERA CANTONAL;0109
030450;LA TRONCAL, CABECERA CANTONAL;0304
070102;MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0701
070103;PUERTO BOLÍVAR;0701
160163;TARQUI;1601
120850;VINCES, CABECERA CANTONAL;1208
030250;BIBLIÁN, CABECERA CANTONAL;0302
010169;TURI;0101
180107;MATRIZ;1801
131950;PUERTO LÓPEZ, CABECERA CANTONAL;1319
010171;VICTORIA DEL PORTETE (IRQUIS);0101
